sep=;
Classifier;T1;T2;T3;T4;T5;T6;T7;T8;T9
classify_knn;0,6726;0,3404;0,57755;0,25;0,05435;0,1504;0,564375;0,42315;0,53535;
classify_lda;0,67735;0,316825;0,648325;0,421075;0,064;0,23875;0,625775;0,4465;0,65155;
classify_qda;0,653625;0,28385;0,5934;0,30995;0,077325;0,1163;0,569175;0,3899;0,603575;
classify_svm;0,63585;0,32275;0,604425;0,302625;0,0459;0,14885;0,5692;0,4219;0,5846;
