sep=;
classify_knn;0,6394;0,3922;0,5507;0,1813;0,0290;0,2062;0,6582;0,3998;0,4444;0,3890
classify_lda;0,6394;0,2744;0,6581;0,4211;0,0628;0,2186;0,6631;0,4194;0,6364;0,4437
classify_qda;0,6584;0,2273;0,6044;0,2573;0,0580;0,1008;0,6486;0,3309;0,5960;0,3868
classify_svm;0,6014;0,3263;0,5556;0,2339;0,0145;0,0884;0,5957;0,3850;0,4798;0,3645
